label,ch0,ch1,frame,npca,util_ch0,util_ch1,fairness_ch0,fairness_ch1,tput_ch0,tput_ch1
s2_2_fshort_npca_1,2,2,short,1,0.815313,0.8016,0.9999999936876385,0.9999894270712433,"[404382, 405975]","[405866, 401809]"
s2_2_fshort_npca_0,2,2,short,0,0.818801,0.805211,0.9999445897719289,0.9999989214142929,"[406593, 412208]","[402072, 403139]"
s2_2_flong_npca_1,2,2,long,1,0.915458,0.913589,0.9996404677626363,0.9998988268956986,"[453068, 461835]","[461730, 452628]"
s2_2_flong_npca_0,2,2,long,0,0.913297,0.911624,0.9996235611858201,0.9997028653091306,"[464970, 448327]","[464309, 447315]"
s2_6_fshort_npca_1,2,6,short,1,0.814423,0.750658,0.9999785024459326,0.9989562288389164,"[408342, 402050]","[127909, 118975, 125537, 133161, 125048, 124881]"
s2_6_fshort_npca_0,2,6,short,0,0.817179,0.753495,0.9999164227911569,0.9959577207436267,"[411741, 405438]","[128238, 124905, 124641, 126693, 113190, 135828]"
s2_6_flong_npca_1,2,6,long,1,0.912268,0.809361,0.9999807226917483,0.9962699529277815,"[456503, 455565]","[132990, 151672, 123676, 135136, 132224, 133864]"
s2_6_flong_npca_0,2,6,long,0,0.913675,0.821085,0.999999122035969,0.990342286046868,"[454410, 459265]","[142395, 106260, 141405, 132825, 148380, 149820]"
s2_10_fshort_npca_1,2,10,short,1,0.817854,0.710056,0.9998691285291688,0.9956193983952913,"[410966, 403755]","[67322, 63883, 67412, 72246, 76229, 71358, 69908, 76985, 76315, 72197]"
s2_10_fshort_npca_0,2,10,short,0,0.817222,0.715802,0.99999999898376,0.9929810261987839,"[408804, 408418]","[74151, 68277, 72600, 75999, 80189, 65703, 68145, 59928, 72996, 77814]"
s2_10_flong_npca_1,2,10,long,1,0.914424,0.749007,0.9997370886932115,0.9750758773441379,"[461835, 452384]","[82676, 66568, 63195, 67387, 68641, 97845, 88275, 76065, 68475, 70087]"
s2_10_flong_npca_0,2,10,long,0,0.910225,0.762037,0.9999749448415173,0.9764583059766029,"[454825, 455400]","[88275, 64020, 60555, 70785, 79102, 78705, 76560, 63030, 88440, 92565]"
s6_2_fshort_npca_1,6,2,short,1,0.766237,0.802962,0.9969822533384962,0.9999023250085658,"[131274, 122137, 130053, 131802, 114741, 132594]","[400090, 407575]"
s6_2_fshort_npca_0,6,2,short,0,0.762649,0.801108,0.9972002829801621,0.9999623635679338,"[133207, 120318, 131538, 134805, 118470, 124311]","[399201, 401907]"
s6_2_flong_npca_1,6,2,long,1,0.816472,0.905485,0.9938089447347518,0.9999617402246275,"[141405, 144870, 148170, 127875, 138270, 115831]","[452038, 453568]"
s6_2_flong_npca_0,6,2,long,0,0.817646,0.91097,0.9932441708554957,0.9999891492942424,"[155265, 130256, 136455, 141405, 122925, 131340]","[453095, 457875]"
s6_6_fshort_npca_1,6,6,short,1,0.76538,0.751839,0.9996157802343095,0.9986693518627109,"[125037, 129030, 126126, 126225, 129950, 126027]","[122342, 121064, 132833, 130609, 128918, 120462]"
s6_6_fshort_npca_0,6,6,short,0,0.766001,0.752213,0.9989594820578852,0.9992802424929208,"[128205, 125537, 120813, 129129, 135069, 127248]","[126324, 128117, 123783, 119559, 123156, 131274]"
s6_6_flong_npca_1,6,6,long,1,0.809596,0.804364,0.991625692039815,0.9968652155726161,"[126555, 141075, 116160, 144705, 143385, 137445]","[135960, 128042, 138275, 137281, 123286, 141814]"
s6_6_flong_npca_0,6,6,long,0,0.814129,0.8118,0.9828366148654608,0.9877702024178443,"[104775, 161554, 132165, 126390, 146520, 142725]","[151305, 129030, 129690, 113355, 136785, 151635]"
s6_10_fshort_npca_1,6,10,short,1,0.76375,0.700463,0.9986532455562996,0.9968541011335809,"[125301, 123718, 127743, 120054, 134607, 129228]","[71427, 73818, 70790, 63616, 73021, 72202, 63898, 69399, 72036, 74600]"
s6_10_fshort_npca_0,6,10,short,0,0.764643,0.720159,0.9976243627856156,0.9850364092018973,"[121473, 129096, 119427, 128865, 131703, 134079]","[66330, 79200, 62865, 62271, 82863, 64449, 77055, 62271, 80355, 82500]"
s6_10_flong_npca_1,6,10,long,1,0.811241,0.75438,0.9783892960131152,0.984427754923243,"[140250, 114583, 169785, 135960, 136125, 114345]","[70232, 88276, 79695, 58577, 74086, 82501, 76396, 72682, 82005, 70125]"
s6_10_flong_npca_0,6,10,long,0,0.811198,0.762465,0.9921844119443746,0.9865289805186178,"[131010, 126885, 145200, 122430, 148558, 137115]","[73755, 78705, 60555, 70290, 80355, 76395, 85305, 65505, 80850, 90750]"
s10_2_fshort_npca_1,10,2,short,1,0.724333,0.804469,0.9934338731248535,0.9999601383396809,"[78606, 70323, 74740, 69630, 73986, 73227, 56826, 76923, 77484, 70092]","[402915, 404868]"
s10_2_fshort_npca_0,10,2,short,0,0.722597,0.802283,0.9957647894834857,0.9999412526281459,"[75834, 70583, 72567, 66561, 82731, 67881, 68772, 78111, 71181, 68376]","[403722, 398561]"
s10_2_flong_npca_1,10,2,long,1,0.769168,0.913803,0.9760747886696634,0.999948253983907,"[72600, 74580, 66990, 72930, 55770, 97845, 65340, 89986, 96360, 76560]","[454332, 459723]"
s10_2_flong_npca_0,10,2,long,0,0.770812,0.908716,0.9711115485149167,0.999704527194276,"[88110, 79035, 72435, 81840, 85732, 53790, 89925, 57585, 88440, 73920]","[461401, 447315]"
s10_6_fshort_npca_1,10,6,short,1,0.728838,0.750535,0.9888685309542055,0.9991232567126052,"[81081, 65736, 78870, 80619, 72567, 76065, 65835, 70323, 58740, 76398]","[127919, 127594, 126055, 121473, 131108, 120517]"
s10_6_fshort_npca_0,10,6,short,0,0.723291,0.753737,0.9885988379474421,0.996821225609527,"[73458, 76725, 74118, 82005, 76293, 77055, 77979, 56694, 68904, 60060]","[121869, 116325, 125697, 126621, 136571, 126654]"
s10_6_flong_npca_1,10,6,long,1,0.764131,0.806766,0.9864283035347416,0.9904215388211228,"[72600, 75900, 89265, 79365, 64845, 80190, 66707, 85800, 76725, 72600]","[141605, 115087, 133863, 149753, 136694, 130020]"
s10_6_flong_npca_0,10,6,long,0,0.76494,0.81675,0.9851859954384978,0.9957218775619959,"[71115, 89265, 79035, 70785, 71610, 86625, 63195, 85800, 81510, 66000]","[130020, 136950, 125070, 150480, 138600, 135630]"
s10_10_fshort_npca_1,10,10,short,1,0.729416,0.705889,0.9956519826808489,0.9978715163468401,"[74547, 76197, 75669, 71961, 79200, 74679, 73161, 63657, 74085, 63789]","[72200, 69369, 74943, 72628, 64365, 73369, 71069, 69544, 71117, 70832]"
