time,node,timestamp,result,channel,duration
36,3,36.0,succ,0,2700
2763,0,63.0,succ,0,2700
5472,0,9.0,succ,0,2700
8190,0,18.0,succ,0,2700
10908,2,108.0,succ,0,2700
13626,3,90.0,succ,0,2700
16335,1,135.0,coll,0,2700
16335,4,135.0,coll,0,2700
16371,2,54.0,coll,0,2700
16371,3,36.0,coll,0,2700
16425,0,117.0,succ,0,2700
19134,4,216.0,succ,0,2700
21843,1,225.0,succ,0,2700
24570,2,144.0,succ,0,2700
49995,0,22770.0,coll,0,2700
49995,1,22752.0,coll,0,2700
49995,2,22725.0,coll,0,2700
49995,3,22851.0,coll,0,2700
49995,4,22761.0,coll,0,2700
50058,4,22815.0,succ,0,2700
52767,3,22914.0,succ,0,2700
55485,2,22806.0,succ,0,2700
58194,1,22842.0,succ,0,2700
60912,0,22878.0,coll,0,2700
60912,2,27.0,coll,0,2700
60957,3,81.0,succ,0,2700
63657,3,0.0,succ,0,2700
66357,3,0.0,succ,0,2700
69075,3,18.0,succ,0,2700
71775,3,0.0,succ,0,2700
74493,0,22950.0,succ,0,2700
0,8,0.0,succ,1,2700
2709,6,9.0,succ,1,2700
5418,6,9.0,succ,1,2700
8127,10,27.0,succ,1,2700
10845,9,45.0,coll,1,2700
10845,12,45.0,coll,1,2700
10863,12,54.0,succ,1,2700
13572,10,36.0,succ,1,2700
16290,5,81.0,coll,1,2700
16290,9,81.0,coll,1,2700
16308,10,27.0,coll,1,2700
16308,11,90.0,coll,1,2700
16308,13,90.0,coll,1,2700
16326,10,36.0,coll,1,2700
16326,13,99.0,coll,1,2700
16344,7,108.0,succ,1,2700
19053,10,54.0,succ,1,2700
21762,14,126.0,succ,1,2700
24471,8,135.0,coll,1,2700
24471,12,81.0,coll,1,2700
24489,13,144.0,succ,1,2700
27198,6,135.0,coll,1,2700
27198,11,153.0,coll,1,2700
27216,9,162.0,succ,1,2700
29934,8,180.0,coll,1,2700
29934,9,18.0,coll,1,2700
29934,12,126.0,coll,1,2700
29943,9,18.0,succ,1,2700
49995,5,17532.0,coll,1,2700
49995,6,17514.0,coll,1,2700
49995,7,17424.0,coll,1,2700
49995,8,17532.0,coll,1,2700
49995,9,17352.0,coll,1,2700
49995,10,17415.0,coll,1,2700
49995,11,17532.0,coll,1,2700
49995,12,17478.0,coll,1,2700
49995,13,17388.0,coll,1,2700
49995,14,17406.0,coll,1,2700
