,slot,time,states_ch_0,backoff_ch_0,npca_enabled_ch_0,channel_0_occupied_remained,channel_0_obss_occupied_remained,states_ch_1,backoff_ch_1,npca_enabled_ch_1,channel_1_occupied_remained,channel_1_obss_occupied_remained,util_ch_0,util_ch_1
0,0,0,"['primary_backoff', 'primary_backoff']","[10, 11]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[5, 15]","[False, False]",0,0,False,False
1,1,9,"['primary_backoff', 'primary_backoff']","[9, 10]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[4, 14]","[False, False]",0,0,False,False
2,2,18,"['primary_backoff', 'primary_backoff']","[8, 9]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[3, 13]","[False, False]",0,0,False,False
3,3,27,"['primary_backoff', 'primary_backoff']","[7, 8]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[2, 12]","[False, False]",0,0,False,False
4,4,36,"['primary_backoff', 'primary_backoff']","[6, 7]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[1, 11]","[False, False]",0,0,False,False
5,5,45,"['primary_backoff', 'primary_backoff']","[5, 6]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[0, 10]","[False, False]",0,0,False,False
6,6,54,"['primary_backoff', 'primary_backoff']","[4, 5]","[False, False]",0,0,"['primary_tx', 'primary_backoff']","[0, 9]","[False, False]",33,0,False,True
7,7,63,"['primary_backoff', 'primary_backoff']","[3, 4]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",32,0,False,True
8,8,72,"['primary_backoff', 'primary_backoff']","[2, 3]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",31,0,False,True
9,9,81,"['primary_backoff', 'primary_backoff']","[1, 2]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",30,0,False,True
10,10,90,"['primary_backoff', 'primary_backoff']","[0, 1]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",29,0,False,True
11,11,99,"['primary_tx', 'primary_backoff']","[0, 0]","[False, False]",33,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",28,0,True,True
12,12,108,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",32,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",27,0,True,True
13,13,117,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",31,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",26,0,True,True
14,14,126,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",30,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",25,0,True,True
15,15,135,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",29,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",24,0,True,True
16,16,144,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",28,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",23,0,True,True
17,17,153,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",27,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",22,0,True,True
18,18,162,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",26,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",21,0,True,True
19,19,171,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",25,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",20,0,True,True
20,20,180,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",24,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",19,0,True,True
21,21,189,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",23,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",18,0,True,True
22,22,198,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",22,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",17,0,True,True
23,23,207,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",21,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",16,0,True,True
24,24,216,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",20,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",15,0,True,True
25,25,225,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",19,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",14,0,True,True
26,26,234,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",18,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",13,0,True,True
27,27,243,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",17,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",12,0,True,True
28,28,252,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",16,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",11,0,True,True
29,29,261,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",15,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",10,0,True,True
30,30,270,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",14,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",9,0,True,True
31,31,279,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",13,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",8,0,True,True
32,32,288,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",12,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",7,0,True,True
33,33,297,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",11,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",6,0,True,True
34,34,306,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",10,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",5,0,True,True
35,35,315,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",9,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",4,0,True,True
36,36,324,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",8,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",3,0,True,True
37,37,333,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",7,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",2,0,True,True
38,38,342,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",6,0,"['primary_tx', 'primary_frozen']","[0, 9]","[False, False]",1,0,True,True
39,39,351,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",5,0,"['primary_backoff', 'primary_backoff']","[7, 9]","[False, False]",0,0,True,False
40,40,360,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",4,0,"['primary_backoff', 'primary_backoff']","[6, 8]","[False, False]",0,0,True,False
41,41,369,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",3,0,"['primary_backoff', 'primary_backoff']","[5, 7]","[False, False]",0,0,True,False
42,42,378,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",2,0,"['primary_backoff', 'primary_backoff']","[4, 6]","[False, False]",0,0,True,False
43,43,387,"['primary_tx', 'primary_frozen']","[0, 0]","[False, False]",1,0,"['primary_backoff', 'primary_backoff']","[3, 5]","[False, False]",0,0,True,False
44,44,396,"['primary_backoff', 'primary_backoff']","[6, 0]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[2, 4]","[False, False]",0,0,False,False
45,45,405,"['primary_backoff', 'primary_tx']","[5, 0]","[False, False]",33,0,"['primary_backoff', 'primary_backoff']","[1, 3]","[False, False]",0,0,True,False
46,46,414,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",32,0,"['primary_backoff', 'primary_backoff']","[0, 2]","[False, False]",0,0,True,False
47,47,423,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",31,0,"['primary_tx', 'primary_backoff']","[0, 1]","[False, False]",33,0,True,True
48,48,432,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",30,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",32,0,True,True
49,49,441,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",29,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",31,0,True,True
50,50,450,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",28,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",30,0,True,True
51,51,459,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",27,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",29,0,True,True
52,52,468,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",26,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",28,0,True,True
53,53,477,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",25,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",27,0,True,True
54,54,486,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",24,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",26,0,True,True
55,55,495,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",23,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",25,0,True,True
56,56,504,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",22,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",24,0,True,True
57,57,513,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",21,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",23,0,True,True
58,58,522,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",20,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",22,0,True,True
59,59,531,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",19,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",21,0,True,True
60,60,540,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",18,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",20,0,True,True
61,61,549,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",17,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",19,0,True,True
62,62,558,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",16,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",18,0,True,True
63,63,567,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",15,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",17,0,True,True
64,64,576,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",14,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",16,0,True,True
65,65,585,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",13,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",15,0,True,True
66,66,594,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",12,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",14,0,True,True
67,67,603,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",11,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",13,0,True,True
68,68,612,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",10,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",12,0,True,True
69,69,621,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",9,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",11,0,True,True
70,70,630,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",8,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",10,0,True,True
71,71,639,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",7,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",9,0,True,True
72,72,648,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",6,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",8,0,True,True
73,73,657,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",5,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",7,0,True,True
74,74,666,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",4,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",6,0,True,True
75,75,675,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",3,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",5,0,True,True
76,76,684,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",2,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",4,0,True,True
77,77,693,"['primary_frozen', 'primary_tx']","[5, 0]","[False, False]",1,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",3,0,True,True
78,78,702,"['primary_backoff', 'primary_backoff']","[5, 5]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",2,0,False,True
79,79,711,"['primary_backoff', 'primary_backoff']","[4, 4]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 1]","[False, False]",1,0,False,True
80,80,720,"['primary_backoff', 'primary_backoff']","[3, 3]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[13, 1]","[False, False]",0,0,False,False
81,81,729,"['primary_backoff', 'primary_backoff']","[2, 2]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[12, 0]","[False, False]",0,0,False,False
