,slot,time,states_ch_0,backoff_ch_0,npca_enabled_ch_0,channel_0_occupied_remained,channel_0_obss_occupied_remained,states_ch_1,backoff_ch_1,npca_enabled_ch_1,channel_1_occupied_remained,channel_1_obss_occupied_remained,util_ch_0,util_ch_1
0,0,0,"['primary_backoff', 'primary_backoff']","[3, 0]","[False, False]",0,0,"['primary_backoff', 'primary_backoff']","[8, 7]","[True, True]",0,0,False,False
1,1,9,"['primary_backoff', 'primary_tx']","[2, 0]","[False, False]",33,0,"['primary_backoff', 'primary_backoff']","[7, 6]","[True, True]",0,0,True,False
2,2,18,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",32,0,"['primary_backoff', 'primary_backoff']","[6, 5]","[True, True]",0,0,True,False
3,3,27,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",31,0,"['primary_backoff', 'primary_backoff']","[5, 4]","[True, True]",0,0,True,False
4,4,36,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",30,0,"['primary_backoff', 'primary_backoff']","[4, 3]","[True, True]",0,0,True,False
5,5,45,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",29,0,"['primary_backoff', 'primary_backoff']","[3, 2]","[True, True]",0,0,True,False
6,6,54,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",28,0,"['primary_backoff', 'primary_backoff']","[2, 1]","[True, True]",0,0,True,False
7,7,63,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",27,0,"['primary_backoff', 'primary_backoff']","[1, 0]","[True, True]",0,0,True,False
8,8,72,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",26,0,"['primary_backoff', 'primary_tx']","[0, 0]","[True, True]",33,0,True,True
9,9,81,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",25,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",32,0,True,True
10,10,90,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",24,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",31,0,True,True
11,11,99,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",23,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",30,0,True,True
12,12,108,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",22,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",29,0,True,True
13,13,117,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",21,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",28,0,True,True
14,14,126,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",20,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",27,0,True,True
15,15,135,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",19,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",26,0,True,True
16,16,144,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",18,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",25,0,True,True
17,17,153,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",17,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",24,0,True,True
18,18,162,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",16,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",23,0,True,True
19,19,171,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",15,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",22,0,True,True
20,20,180,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",14,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",21,0,True,True
21,21,189,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",13,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",20,0,True,True
22,22,198,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",12,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",19,0,True,True
23,23,207,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",11,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",18,0,True,True
24,24,216,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",10,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",17,0,True,True
25,25,225,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",9,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",16,0,True,True
26,26,234,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",8,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",15,0,True,True
27,27,243,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",7,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",14,0,True,True
28,28,252,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",6,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",13,0,True,True
29,29,261,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",5,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",12,0,True,True
30,30,270,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",4,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",11,0,True,True
31,31,279,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",3,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",10,0,True,True
32,32,288,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",2,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",9,0,True,True
33,33,297,"['primary_frozen', 'primary_tx']","[2, 0]","[False, False]",1,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",8,0,True,True
34,34,306,"['primary_backoff', 'primary_backoff']","[2, 0]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",7,0,False,True
35,35,315,"['primary_backoff', 'primary_tx']","[1, 0]","[False, False]",33,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",6,0,True,True
36,36,324,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",32,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",5,0,True,True
37,37,333,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",31,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",4,0,True,True
